Force: -0.7600691787035517
Flowrate: 0.013941223012651077
Power: 0.25693674012315937
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.011825	    0.569792	    -13.4250	
    0.011850	    0.569772	    -13.4533	
    0.011875	    0.569751	    -13.4815	
    0.011900	    0.569730	    -13.5098	
    0.011925	    0.569710	    -13.5381	
    0.011950	    0.569689	    -13.5663	
    0.011975	    0.569668	    -13.5946	
    0.012000	    0.569647	    -13.6228	
    0.012025	    0.569626	    -13.6511	
    0.012050	    0.569605	    -13.6794	
    0.012075	    0.569584	    -13.7076	
    0.012100	    0.569563	    -13.7359	
    0.012125	    0.569542	    -13.7641	
    0.012150	    0.569521	    -13.7924	
    0.012175	    0.569500	    -13.8206	
    0.012200	    0.569478	    -13.8489	
    0.012225	    0.569457	    -13.8772	
    0.012250	    0.569436	    -13.9054	
    0.012275	    0.569414	    -13.9337	
    0.012300	    0.569393	    -13.9619	
    0.012325	    0.569372	    -13.9902	
    0.012350	    0.569350	    -14.0184	
    0.012375	    0.569329	    -14.0467	
    0.012400	    0.569307	    -14.0749	
    0.012425	    0.569285	    -14.1032	
    0.012450	    0.569264	    -14.1314	
    0.012475	    0.569242	    -14.1597	
    0.012500	    0.569220	    -14.1879	
    0.012525	    0.569198	    -14.2162	
    0.012550	    0.569176	    -14.2444	
    0.012575	    0.569155	    -14.2726	
    0.012600	    0.569133	    -14.3009	
    0.012625	    0.569111	    -14.3291	
    0.012650	    0.569089	    -14.3574	
    0.012675	    0.569067	    -14.3856	
    0.012700	    0.569044	    -14.4138	
    0.012725	    0.569022	    -14.4421	
    0.012750	    0.569000	    -14.4703	
    0.012775	    0.568978	    -14.4986	
    0.012800	    0.568956	    -14.5268	
    0.012825	    0.568933	    -14.5550	
    0.012850	    0.568911	    -14.5833	
    0.012875	    0.568888	    -14.6115	
    0.012900	    0.568866	    -14.6397	
    0.012925	    0.568843	    -14.6680	
    0.012950	    0.568821	    -14.6962	
    0.012975	    0.568798	    -14.7244	
    0.013000	    0.568776	    -14.7527	
    0.013025	    0.568753	    -14.7809	
    0.013050	    0.568730	    -14.8091	
    0.013075	    0.568707	    -14.8374	
    0.013100	    0.568685	    -14.8656	
    0.013125	    0.568662	    -14.8938	
    0.013150	    0.568639	    -14.9220	
    0.013175	    0.568616	    -14.9503	
    0.013200	    0.568593	    -14.9785	
    0.013225	    0.568570	    -15.0067	
    0.013250	    0.568547	    -15.0349	
    0.013275	    0.568524	    -15.0632	
    0.013300	    0.568500	    -15.0914	
    0.013325	    0.568477	    -15.1196	
    0.013350	    0.568454	    -15.1478	
    0.013375	    0.568431	    -15.1760	
    0.013400	    0.568407	    -15.2042	
    0.013425	    0.568384	    -15.2325	
    0.013450	    0.568361	    -15.2607	
    0.013475	    0.568337	    -15.2889	
    0.013500	    0.568314	    -15.3171	
    0.013525	    0.568290	    -15.3453	
    0.013550	    0.568266	    -15.3735	
    0.013575	    0.568243	    -15.4017	
    0.013600	    0.568219	    -15.4300	
    0.013625	    0.568195	    -15.4582	
    0.013650	    0.568172	    -15.4864	
    0.013675	    0.568148	    -15.5146	
    0.013700	    0.568124	    -15.5428	
    0.013725	    0.568100	    -15.5710	
    0.013750	    0.568076	    -15.5992	
    0.013775	    0.568052	    -15.6274	
    0.013800	    0.568028	    -15.6556	
    0.013825	    0.568004	    -15.6838	
    0.013850	    0.567980	    -15.7120	
    0.013875	    0.567956	    -15.7402	
    0.013900	    0.567931	    -15.7684	
    0.013925	    0.567907	    -15.7966	
    0.013950	    0.567883	    -15.8248	
    0.013975	    0.567858	    -15.8530	
    0.014000	    0.567834	    -15.8812	
    0.014025	    0.567810	    -15.9094	
    0.014050	    0.567785	    -15.9376	
    0.014075	    0.567761	    -15.9658	
    0.014100	    0.567736	    -15.9940	
    0.014125	    0.567711	    -16.0222	
    0.014150	    0.567687	    -16.0504	
    0.014175	    0.567662	    -16.0786	
    0.014200	    0.567637	    -16.1068	
    0.014225	    0.567612	    -16.1350	
    0.014250	    0.567588	    -16.1631	
    0.014275	    0.567563	    -16.1913	
    0.014300	    0.567538	    -16.2195	
    0.014325	    0.567513	    -16.2477	
    0.014350	    0.567488	    -16.2759	
    0.014375	    0.567463	    -16.3041	
    0.014400	    0.567438	    -16.3323	
    0.014425	    0.567413	    -16.3604	
    0.014450	    0.567387	    -16.3886	
    0.014475	    0.567362	    -16.4168	
    0.014500	    0.567337	    -16.4450	
    0.014525	    0.567312	    -16.4732	
    0.014550	    0.567286	    -16.5013	
    0.014575	    0.567261	    -16.5295	
    0.014600	    0.567235	    -16.5577	
    0.014625	    0.567210	    -16.5859	
    0.014650	    0.567184	    -16.6141	
    0.014675	    0.567159	    -16.6422	
    0.014700	    0.567133	    -16.6704	
    0.014725	    0.567107	    -16.6986	
    0.014750	    0.567082	    -16.7267	
    0.014775	    0.567056	    -16.7549	
    0.014800	    0.567030	    -16.7831	
    0.014825	    0.567004	    -16.8112	
    0.014850	    0.566978	    -16.8394	
    0.014875	    0.566953	    -16.8676	
    0.014900	    0.566927	    -16.8957	
    0.014925	    0.566901	    -16.9239	
    0.014950	    0.566874	    -16.9521	
    0.014975	    0.566848	    -16.9802	
    0.015000	    0.566822	    -17.0084	
    0.015025	    0.566796	    -17.0366	
    0.015050	    0.566770	    -17.0647	
    0.015075	    0.566744	    -17.0929	
    0.015100	    0.566717	    -17.1210	
    0.015125	    0.566691	    -17.1492	
    0.015150	    0.566664	    -17.1774	
    0.015175	    0.566638	    -17.2055	
    0.015200	    0.566611	    -17.2337	
    0.015225	    0.566585	    -17.2618	
    0.015250	    0.566558	    -17.2900	
    0.015275	    0.566532	    -17.3181	
    0.015300	    0.566505	    -17.3463	
    0.015325	    0.566478	    -17.3744	
    0.015350	    0.566452	    -17.4026	
    0.015375	    0.566425	    -17.4307	
    0.015400	    0.566398	    -17.4589	
    0.015425	    0.566371	    -17.4870	
    0.015450	    0.566344	    -17.5152	
    0.015475	    0.566317	    -17.5433	
    0.015500	    0.566290	    -17.5714	
    0.015525	    0.566263	    -17.5996	
    0.015550	    0.566236	    -17.6277	
    0.015575	    0.566209	    -17.6559	
    0.015600	    0.566181	    -17.6840	
    0.015625	    0.566154	    -17.7122	
    0.015650	    0.566127	    -17.7403	
    0.015675	    0.566100	    -17.7684	
    0.015700	    0.566072	    -17.7966	
    0.015725	    0.566045	    -17.8247	
    0.015750	    0.566017	    -17.8528	
    0.015775	    0.565990	    -17.8810	
    0.015800	    0.565962	    -17.9091	
    0.015825	    0.565935	    -17.9372	
    0.015850	    0.565907	    -17.9654	
    0.015875	    0.565879	    -17.9935	
    0.015900	    0.565852	    -18.0216	
    0.015925	    0.565824	    -18.0497	
    0.015950	    0.565796	    -18.0779	
    0.015975	    0.565768	    -18.1060	
    0.016000	    0.565740	    -18.1341	
    0.016025	    0.565712	    -18.1622	
    0.016050	    0.565684	    -18.1904	
    0.016075	    0.565656	    -18.2185	
    0.016100	    0.565628	    -18.2466	
    0.016125	    0.565600	    -18.2747	
    0.016150	    0.565572	    -18.3028	
    0.016175	    0.565544	    -18.3310	
    0.016200	    0.565515	    -18.3591	
    0.016225	    0.565487	    -18.3872	
    0.016250	    0.565459	    -18.4153	
    0.016275	    0.565430	    -18.4434	
    0.016300	    0.565402	    -18.4715	
    0.016325	    0.565373	    -18.4996	
    0.016350	    0.565345	    -18.5278	
    0.016375	    0.565316	    -18.5559	
    0.016400	    0.565288	    -18.5840	
    0.016425	    0.565259	    -18.6121	
    0.016450	    0.565230	    -18.6402	
    0.016475	    0.565202	    -18.6683	
    0.016500	    0.565173	    -18.6964	
    0.016525	    0.565144	    -18.7245	
    0.016550	    0.565115	    -18.7526	
    0.016575	    0.565086	    -18.7807	
    0.016600	    0.565057	    -18.8088	
    0.016625	    0.565028	    -18.8369	
    0.016650	    0.564999	    -18.8650	
